Author,Released,Series,Titles,Datasets
Buzby,FY14,EIB-121,"The Estimated Amount, Value, and Calories of Postharvest Food Losses at the Retail and Consumer Levels in the United States",FADS-LAFA
Lin,FY16,ERR-206,U.S. Food Commodity Consumption Broken Down by Demographics,FADS-LAFA
Bentley,FY17,EIB-166,"U.S. Trends in Food Availability and a Dietary Assessment of Loss-Adjusted Food Availability, 1970-2014",FADS-LAFA
Lin,FY17,ERR-221,"U.S. Food Commodity Availability by Food Source, 1994-2008",FADS-LAFA
