Author,Released,Series,Titles,Datasets
Oliveira,FY14,EIB-119,Trends in Infant Formula Rebate Contracts: Implications for the WIC Program,▪2008 proprietary report prepared for ERS by the Nielsen Company
Rahkovsky,FY15,ERR-195,Food Choices and Store Proximity,▪2010 Nielsen Homescan Panel Survey 
Buzby,FY16,EIB-155,Updated Supermarket Shrink Estimates for Fresh Foods and Their Implications for ERS Loss-Adjusted Food Availability Data,▪Nielsen Perishables Group
Carlson,FY16,ERR-209,Changes in Retail Organic Price Premiums from 2004 to 2010,▪Nielsen Homescan data 
