Author,Released,Series,Titles,Datasets
Ralston,FY15,EIB-143,School Meals in Transition ,▪USDA’s National Data Bank ▪State reports ▪Special Nutrition Program Operation Study Year 1 (SNOPS-I)
Ollinger,FY16,ERR-196,"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",▪School Food Authority Characteristics Study (SFACS) ▪National Center for Education Statistics ▪School Nutrition and Dietary Assessment Study (SNDA) III
