Author,Released,Series,Titles,Datasets
Okrent,FY16,ERR-211,U.S. Households’ Demand for Convenience Foods,▪Consumer Expenditure Survey of the U.S. Bureau of Labor Statistics 
Tuttle,FY16,ERR-213,The Stimulus Act of 2009 and Its Effect on Food-At-Home Spending by SNAP Participants,▪Consumer Expenditure Survey (CE) (administered quarterly by the U.S. Census Bureau)
Sweitzer,FY17,TB-1946,Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,▪Consumer Expenditure Survey
Saksena,FY18,EIB-196,America’s Eating Habits: Food Away From Home,▪CES
